fileId,url,size
1562416723,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h23v03.006.2015139080215.hdf,20842692
1562416724,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h24v04.006.2015139075524.hdf,21321309
1562417223,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h26v03.006.2015139080216.hdf,9820665
1568593574,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h25v04.006.2015139085843.hdf,20316328
1568593790,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h24v04.006.2015139085434.hdf,21351228
1568593889,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h25v05.006.2015139084503.hdf,21714456
1568597995,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h25v03.006.2015139085843.hdf,16752054
1568599841,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h26v04.006.2015139085842.hdf,20571274
1568599945,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h23v03.006.2015139090049.hdf,21990496
1568599946,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h27v04.006.2015139085843.hdf,13068266
1568599947,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h28v05.006.2015139085842.hdf,7281936
1568600045,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h27v05.006.2015139091611.hdf,17071298
1568600999,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h26v05.006.2015139085846.hdf,21633421
1568601001,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h22v03.006.2015140013435.hdf,22870536
1568602310,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h22v03.006.2015139085844.hdf,20779369
1568609446,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h26v05.006.2015139224201.hdf,21865951
1568609888,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h25v05.006.2015139224122.hdf,21975549
1568610156,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h26v04.006.2015139224201.hdf,20834774
1568610157,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h27v04.006.2015139224906.hdf,13222489
